Path;SBE_version;Start_Time;System_Upload_Date;Date_from_the_Name_File;Latitude;Row_Latitude;Longitude;Row_Longitude;Station;Station_From_Name;Max_Depth;Surface_temperature;Max_difference_Tmd_Temperature;Unit_Temperature;Count_True;Count_Total;Dive_Begin_Index;Dive_End_Index;Error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mdPes0728.cnv;SBE 19;28.07.2024 6:10;28.07.2024 6:46;28.07.2024;None;None;None;None;max. depth Peschanka-Istok;mdPes;984.635;19.0675;0.017411596;tv290C: Temperature [ITS-90, deg C];9;1897;76;1972;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mdZS0804.cnv;SBE 19;04.08.2024 1:27;04.08.2024 4:00;04.08.2024;None;None;None;None;md Zavorotniy-Sosnovka;mdZS;898.651;18.1428;None;tv290C: Temperature [ITS-90, deg C];0;1649;37;1685;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mED0731.cnv;SBE 19;31.07.2024 13:45;31.07.2024 14:19;31.07.2024;None;None;None;None;mp Elokhin-Davsha;mED;858.785;22.692;None;tv290C: Temperature [ITS-90, deg C];0;1612;53;1664;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mGBmal0727.cnv;SBE 19;27.07.2024 18:48;27.07.2024 19:44;27.07.2024;None;None;None;None;mp Goloustnoe-Babushkin (Malenkiy);mGBmal;1328.118;20.7956;None;tv290C: Temperature [ITS-90, deg C];0;2387;102;2488;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mGK0728.cnv;SBE 19;28.07.2024 13:29;28.07.2024 16:01;28.07.2024;None;None;None;None;mp Goly-Kukuy;mGK;517.221;20.0815;None;tv290C: Temperature [ITS-90, deg C];0;1131;33;1163;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mhokr0730.cnv;SBE 19;30.07.2024 10:17;31.07.2024 3:00;30.07.2024;None;None;None;None;mp Khoboy-Krestoviy;mhokr;1629.271;18.5864;None;tv290C: Temperature [ITS-90, deg C];0;3179;54;3232;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mIM0724.cnv;SBE 19;24.07.2024 23:44;25.07.2024 0:35;24.07.2024;None;None;None;None;mp Ivanovskiy-Murino;mIM;1299.761;13.4179;None;tv290C: Temperature [ITS-90, deg C];0;2366;67;2432;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKA0801-2_350m.cnv;SBE 19;01.08.2024 17:09;01.08.2024 18:10;;None;None;None;None;mp Kotelnikovskiy-Amnundakan (350m);mKA;403.422;18.5646;None;tv290C: Temperature [ITS-90, deg C];0;828;60;887;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKA0801-3_100-150m.cnv;SBE 19;01.08.2024 18:51;01.08.2024 19:06;;None;None;None;None;mp Kotelnikovskiy-Amnundakan (100-150m);mKA;158.264;16.1457;None;tv290C: Temperature [ITS-90, deg C];0;657;53;709;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKA0801.cnv;SBE 19;01.08.2024 9:37;01.08.2024 10:05;01.08.2024;None;None;None;None;mp Kotelnikovskiy-Amnundakan;mKA;763.781;17.4977;None;tv290C: Temperature [ITS-90, deg C];0;1520;61;1580;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKhKrYa0728.cnv;SBE 19;28.07.2024 10:20;28.07.2024 11:06;28.07.2024;None;None;None;None;mp Kr.Yar-Kharauz;mKhKrYa;263.797;21.8913;None;tv290C: Temperature [ITS-90, deg C];0;725;56;780;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKM0726.cnv;SBE 19;26.07.2024 22:27;26.07.2024 23:23;26.07.2024;None;None;None;None;mp Kadilniy-Mishikha;mKM;1435.733;16.3782;None;tv290C: Temperature [ITS-90, deg C];0;3034;66;3099;not error
